config_id,mode,rerank,top_k_before,n_questions,recall_at_k,hit_rate,mrr,ndcg_at_k,latency_p50_ms,latency_p95_ms
hybrid_rrf_fixed,hybrid_rrf,none,20,241,0.8713692946058091,0.8755186721991701,0.6586445366528354,0.7003263006596542,7.0,27.7
hybrid_rrf_recursive,hybrid_rrf,none,20,245,0.8571428571428571,0.8612244897959184,0.6421768707482991,0.685993712317417,7.0,24.9
hybrid_rrf_structure_aware,hybrid_rrf,none,20,249,0.9056224899598394,0.9196787148594378,0.7632530120481931,0.7865818964677553,5.4,18.7
hybrid_rrf_parent_child,hybrid_rrf,none,20,244,0.8709016393442623,0.8852459016393442,0.7562841530054646,0.7788810846745305,5.4,20.4
