config_id,mode,rerank,top_k_before,n_questions,recall_at_k,hit_rate,mrr,ndcg_at_k,latency_p50_ms,latency_p95_ms
hybrid_rrf_fixed,hybrid_rrf,none,20,71,0.9647887323943662,0.971830985915493,0.6985915492957747,0.7638600530254028,6.6,23.9
hybrid_rrf_recursive,hybrid_rrf,none,20,71,0.9788732394366197,0.9859154929577465,0.6901408450704227,0.7610068787825143,5.3,19.7
hybrid_rrf_structure_aware,hybrid_rrf,none,20,71,0.9788732394366197,0.9859154929577465,0.8122065727699533,0.8533653465304717,5.4,19.4
hybrid_rrf_parent_child,hybrid_rrf,none,20,71,0.9225352112676056,0.9295774647887324,0.7950704225352113,0.8235267247375113,5.6,19.2
