config_id,mode,rerank,top_k_before,n_questions,recall_at_k,hit_rate,mrr,ndcg_at_k,latency_p50_ms,latency_p95_ms
dense_top5,dense,none,20,71,0.9084507042253521,0.9154929577464789,0.6769953051643193,0.731810950331445,4.9,22.5
sparse_bm25_top5,sparse,none,20,71,0.9436619718309859,0.9436619718309859,0.7535211267605635,0.8025344815151542,3.5,19.6
hybrid_rrf_pre20,hybrid_rrf,none,20,71,0.9788732394366197,0.9859154929577465,0.8192488262910801,0.8585635190153807,5.3,18.9
hybrid_rrf_pre40,hybrid_rrf,none,40,71,0.9788732394366197,0.9859154929577465,0.7899061032863852,0.836794442569736,6.2,25.1
hybrid_dbsf_pre20,hybrid_dbsf,none,20,71,0.9929577464788732,1.0,0.8244131455399062,0.8661903017631529,5.6,22.4
hybrid_dbsf_pre40,hybrid_dbsf,none,40,71,0.9929577464788732,1.0,0.8274647887323945,0.8686516187266785,5.7,17.2
dense_rerank_gemini,dense,gemini_listwise,20,71,0.9225352112676056,0.9295774647887324,0.7380281690140846,0.7840920717118876,934.7,1104.7
hybrid_rrf_rerank_gemini,hybrid_rrf,gemini_listwise,20,71,0.9577464788732394,0.9577464788732394,0.7180751173708921,0.7791968625911497,994.2,1110.4
