config_id,mode,rerank,top_k_before,n_questions,recall_at_k,hit_rate,mrr,ndcg_at_k,latency_p50_ms,latency_p95_ms
dense_top5,dense,none,20,249,0.8815261044176707,0.8955823293172691,0.6574297188755022,0.6994206080116679,4.7,21.8
sparse_bm25_top5,sparse,none,20,249,0.8654618473895582,0.8755020080321285,0.708433734939759,0.7344765587840578,4.1,19.1
hybrid_rrf_pre20,hybrid_rrf,none,20,249,0.9056224899598394,0.9196787148594378,0.7594377510040162,0.783327781468561,5.7,19.5
hybrid_rrf_pre40,hybrid_rrf,none,40,249,0.9056224899598394,0.9196787148594378,0.7614457831325303,0.7852446931510025,6.3,19.7
hybrid_dbsf_pre20,hybrid_dbsf,none,20,249,0.9257028112449799,0.9357429718875502,0.7901606425702808,0.8129918923433718,5.7,17.6
hybrid_dbsf_pre40,hybrid_dbsf,none,40,249,0.9317269076305221,0.9437751004016064,0.7908969210174028,0.8148098683039653,6.1,18.8
dense_rerank_gemini,dense,gemini_listwise,20,249,0.893574297188755,0.9036144578313253,0.7240294511378849,0.754477082480592,961.4,1197.9
hybrid_rrf_rerank_gemini,hybrid_rrf,gemini_listwise,20,249,0.927710843373494,0.9397590361445783,0.7475234270414994,0.7802736069160895,998.9,61023.1
